epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,1.230599,0.794297,0.314269,0.20243
2,0.679507,0.824343,0.378746,0.263842
3,0.447786,0.824766,0.430443,0.302946
4,0.332611,0.836078,0.481358,0.36143
5,0.244897,0.839555,0.520205,0.407227
6,0.189562,0.839236,0.517491,0.406609
7,0.16756,0.839886,0.532904,0.426759
8,0.151084,0.829148,0.527894,0.431607
9,0.1198,0.834195,0.523463,0.420011
10,0.094899,0.835549,0.517867,0.422282
11,0.080382,0.837013,0.549237,0.453341
12,0.089624,0.830805,0.538736,0.446902
13,0.078495,0.831289,0.533435,0.437192
14,0.054711,0.825733,0.540549,0.448256
15,0.055501,0.829187,0.531177,0.434136
16,0.058509,0.82909,0.542037,0.450949
17,0.0427,0.828013,0.545454,0.458442
18,0.038666,0.834828,0.541082,0.452315
19,0.037723,0.832495,0.548284,0.457809
