epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,1.231994,0.791463,0.319615,0.210894
2,0.69223,0.826567,0.374422,0.256042
3,0.457874,0.831601,0.424581,0.300654
4,0.324366,0.831382,0.472436,0.356111
5,0.243521,0.837197,0.523923,0.416199
6,0.194009,0.833026,0.54865,0.441673
7,0.167118,0.839458,0.552095,0.44961
8,0.146302,0.827681,0.542308,0.441279
9,0.116723,0.828899,0.549254,0.445626
10,0.104286,0.826795,0.509248,0.407568
11,0.084589,0.831548,0.540825,0.443266
12,0.096904,0.818825,0.534081,0.440008
13,0.075516,0.834621,0.52524,0.430134
14,0.056137,0.830761,0.529864,0.435437
15,0.052803,0.821762,0.539783,0.443853
