epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,1.234371,0.791985,0.303007,0.197818
2,0.688885,0.824007,0.3723,0.249204
3,0.463944,0.83918,0.433109,0.308854
4,0.332638,0.836733,0.479494,0.361337
5,0.248115,0.849956,0.529797,0.418039
6,0.195152,0.846864,0.535964,0.426106
7,0.167816,0.848682,0.527688,0.424455
8,0.146222,0.85109,0.542479,0.441073
9,0.117396,0.846824,0.537904,0.436871
10,0.097797,0.840694,0.526997,0.427012
11,0.083129,0.840195,0.534611,0.435535
12,0.091749,0.846999,0.531631,0.440001
13,0.075195,0.854911,0.547956,0.4524
14,0.057035,0.83785,0.521979,0.425181
15,0.056683,0.840765,0.535153,0.44173
16,0.055458,0.836551,0.530915,0.43871
17,0.041854,0.842678,0.53177,0.442905
18,0.038302,0.845869,0.539218,0.4446
19,0.035547,0.840971,0.522526,0.426963
20,0.031065,0.837692,0.539778,0.451284
21,0.029385,0.835569,0.53756,0.445612
