epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,1.232916,0.798349,0.322147,0.212493
2,0.69118,0.832754,0.368985,0.252633
3,0.462912,0.841696,0.413969,0.287333
4,0.335576,0.842511,0.476189,0.35983
5,0.24982,0.853552,0.518913,0.412256
6,0.195643,0.840325,0.51027,0.40035
7,0.170879,0.850462,0.509465,0.404399
8,0.15704,0.834195,0.535,0.434325
9,0.118093,0.838316,0.547526,0.448052
10,0.0978,0.832034,0.546033,0.446631
11,0.084729,0.847672,0.539651,0.443626
12,0.091391,0.847492,0.554171,0.462394
13,0.072016,0.842843,0.546054,0.451599
14,0.058572,0.838979,0.537032,0.448096
15,0.055032,0.833936,0.539746,0.446436
16,0.065684,0.839942,0.568968,0.48172
17,0.041731,0.834859,0.545473,0.456494
18,0.040169,0.845024,0.568988,0.47925
19,0.036616,0.840222,0.542016,0.451733
20,0.031569,0.842026,0.552636,0.465896
21,0.02546,0.843794,0.545005,0.457615
22,0.023239,0.839361,0.548338,0.458373
23,0.0346,0.837481,0.54762,0.458132
24,0.030492,0.834033,0.548486,0.458816
25,0.05859,0.833198,0.548449,0.460609
26,0.02084,0.835944,0.559456,0.472561
