epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.042964,0.581774,0.80134,0.496674,0.355585
2,0.036929,0.506726,0.825943,0.533836,0.407366
3,0.035261,0.493916,0.836737,0.543067,0.418841
4,0.033439,0.501236,0.832387,0.552339,0.428395
5,0.033405,0.511608,0.839364,0.528353,0.403686
6,0.032916,0.48505,0.83388,0.551885,0.427816
7,0.033028,0.526423,0.829633,0.548195,0.428724
8,0.030181,0.49984,0.84037,0.577389,0.4584
9,0.028997,0.514736,0.834438,0.568897,0.448435
10,0.031089,0.468281,0.834089,0.539925,0.427152
11,0.031502,0.485958,0.822976,0.578987,0.46071
12,0.028876,0.471263,0.815988,0.526493,0.410016
13,0.027579,0.480883,0.831114,0.571739,0.453444
14,0.027493,0.472004,0.817661,0.535462,0.416326
15,0.030932,0.466043,0.841157,0.579196,0.470247
16,0.02997,0.497988,0.827454,0.564072,0.444747
17,0.028225,0.475703,0.823876,0.575941,0.462905
18,0.030428,0.494068,0.819152,0.525366,0.410628
19,0.028348,0.473071,0.829148,0.528017,0.413475
20,0.026855,0.477866,0.81905,0.556263,0.443185
21,0.030132,0.494411,0.801313,0.551405,0.438617
