epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.060431,0.741717,0.819103,0.393271,0.192587
2,0.053035,0.762662,0.842787,0.435986,0.259873
3,0.050664,0.667507,0.827357,0.433715,0.263449
4,0.04773,0.598024,0.848336,0.457188,0.290349
5,0.047538,0.608993,0.846215,0.436701,0.26137
6,0.046502,0.614827,0.835268,0.412918,0.238552
7,0.046781,0.630605,0.831996,0.40746,0.223268
8,0.043353,0.585146,0.827191,0.459926,0.298435
9,0.041732,0.621047,0.830686,0.41895,0.246633
10,0.042572,0.577969,0.837238,0.45131,0.292104
11,0.043028,0.61041,0.816868,0.450182,0.279715
12,0.040602,0.578929,0.819758,0.441503,0.284228
13,0.038667,0.594533,0.825953,0.466254,0.307409
14,0.038866,0.574699,0.797248,0.47339,0.327417
15,0.042644,0.599097,0.827187,0.466,0.309549
16,0.040511,0.604499,0.818958,0.452493,0.294799
17,0.037325,0.596522,0.817658,0.477272,0.325972
18,0.042733,0.5835,0.816829,0.483478,0.333298
19,0.038324,0.58995,0.821931,0.493967,0.351738
20,0.036014,0.592189,0.805552,0.474612,0.32048
21,0.039677,0.605481,0.819304,0.458896,0.300935
22,0.034996,0.597381,0.82292,0.463697,0.313554
23,0.032923,0.561171,0.826944,0.50395,0.366891
24,0.035628,0.598533,0.816252,0.479168,0.325216
25,0.034955,0.60367,0.821897,0.468686,0.31497
26,0.033203,0.582638,0.81417,0.481298,0.337375
27,0.032273,0.587642,0.815291,0.481984,0.334024
28,0.033641,0.541899,0.814643,0.525798,0.397977
29,0.035042,0.593097,0.818441,0.473832,0.323847
30,0.03348,0.57964,0.818712,0.499761,0.358824
