epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.043173,0.597028,0.795611,0.490737,0.351333
2,0.037479,0.513494,0.821762,0.545159,0.420504
3,0.035543,0.507974,0.824846,0.545929,0.425066
4,0.033813,0.505902,0.829925,0.551195,0.427826
5,0.0339,0.520643,0.839503,0.546809,0.424609
6,0.033313,0.479262,0.834157,0.567961,0.450214
7,0.033935,0.524586,0.835583,0.557094,0.44143
8,0.031177,0.488102,0.830939,0.576765,0.458687
9,0.029753,0.5114,0.83692,0.563982,0.450354
10,0.031249,0.479701,0.832307,0.538932,0.425855
11,0.031818,0.480197,0.8244,0.571519,0.456738
12,0.028884,0.461846,0.826487,0.559914,0.445303
13,0.028338,0.498467,0.830256,0.557926,0.439889
14,0.028556,0.467998,0.824071,0.543949,0.426696
