epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.060365,0.789489,0.812129,0.384293,0.180922
2,0.053018,0.639715,0.843615,0.433129,0.254891
3,0.050964,0.616511,0.846108,0.444128,0.26931
4,0.047811,0.598086,0.848985,0.451458,0.277824
5,0.047762,0.609811,0.849167,0.429331,0.251015
6,0.046417,0.619168,0.836755,0.425781,0.249802
7,0.047001,0.636865,0.836274,0.406219,0.221814
8,0.043267,0.588706,0.830558,0.448187,0.284615
9,0.041799,0.62827,0.831434,0.401212,0.22529
10,0.04267,0.584702,0.845425,0.459639,0.291452
11,0.042896,0.617293,0.836601,0.420565,0.246091
12,0.040909,0.577206,0.838601,0.469662,0.312498
13,0.03823,0.600875,0.831924,0.44577,0.283937
14,0.038568,0.584173,0.798233,0.455108,0.297776
15,0.042523,0.592811,0.828522,0.466481,0.310223
16,0.040905,0.602416,0.826408,0.450076,0.289047
17,0.038036,0.586591,0.818743,0.478279,0.331876
18,0.042295,0.594139,0.819346,0.494086,0.338733
19,0.03888,0.607241,0.826541,0.488583,0.33674
20,0.036525,0.590182,0.81052,0.473918,0.317875
21,0.039939,0.610742,0.818448,0.459875,0.29642
22,0.035163,0.603348,0.81014,0.482558,0.326027
23,0.033242,0.562484,0.823301,0.507385,0.369769
24,0.035847,0.593585,0.817095,0.485831,0.332887
25,0.035723,0.598884,0.820882,0.478847,0.327629
26,0.033495,0.585709,0.812995,0.492864,0.346639
27,0.032243,0.590615,0.815735,0.485502,0.338667
28,0.034796,0.54811,0.807941,0.530567,0.400824
29,0.035449,0.591552,0.813945,0.491858,0.341753
30,0.034276,0.583237,0.816105,0.500401,0.357688
