epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.366783,0.454464,0.806216,0.256063,0.24497
2,0.285337,0.359251,0.840552,0.429628,0.384077
3,0.266225,0.385659,0.836122,0.508517,0.444799
4,0.248582,0.305821,0.838013,0.484894,0.41593
5,0.249524,0.299109,0.840003,0.466555,0.402064
6,0.243963,0.270874,0.828726,0.494306,0.421877
7,0.250809,0.274945,0.826207,0.470456,0.401774
8,0.224923,0.271566,0.824147,0.507691,0.433776
9,0.217368,0.269695,0.830406,0.517507,0.446494
10,0.22994,0.271981,0.828358,0.517277,0.445399
11,0.235636,0.265621,0.820569,0.505283,0.434236
12,0.214361,0.265365,0.818784,0.533268,0.462752
13,0.202175,0.268059,0.832085,0.518253,0.447
14,0.203912,0.265229,0.821826,0.512587,0.435003
15,0.226931,0.265464,0.827713,0.540316,0.46727
16,0.223825,0.265869,0.828466,0.513386,0.438472
17,0.204433,0.268931,0.82224,0.51445,0.43775
18,0.227075,0.269342,0.822725,0.524958,0.453262
19,0.208615,0.266055,0.82996,0.528665,0.452947
20,0.194869,0.264379,0.825052,0.537453,0.461054
21,0.225402,0.267977,0.819263,0.519046,0.444669
