epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.042904,0.658386,0.799725,0.489265,0.347177
2,0.03714,0.565906,0.837817,0.561975,0.436325
3,0.035306,0.601179,0.834333,0.568624,0.446821
4,0.033564,0.551956,0.840864,0.573131,0.454274
5,0.033871,0.536123,0.836051,0.549929,0.428711
6,0.03307,0.484659,0.832206,0.566038,0.447167
7,0.03361,0.53857,0.825408,0.537656,0.416134
8,0.03125,0.489243,0.84026,0.575528,0.457575
9,0.029535,0.518422,0.833191,0.558932,0.442067
10,0.031306,0.466053,0.82642,0.536994,0.425111
11,0.031596,0.490214,0.817386,0.603567,0.495491
12,0.028921,0.462237,0.83892,0.571576,0.458485
13,0.027849,0.489366,0.821702,0.563943,0.446941
14,0.028086,0.444169,0.815848,0.544189,0.43149
15,0.03106,0.467188,0.851348,0.570545,0.459775
16,0.03062,0.486759,0.838347,0.571245,0.461066
17,0.028411,0.469308,0.840005,0.561101,0.450669
