epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.06036,1.001593,0.812504,0.371128,0.167717
2,0.053281,0.826076,0.841018,0.421555,0.241973
3,0.050828,0.751096,0.84231,0.429341,0.252298
4,0.047777,0.607982,0.852917,0.446433,0.274674
5,0.047974,0.61264,0.856907,0.436448,0.256625
6,0.046193,0.609534,0.844818,0.432787,0.259824
7,0.047003,0.627904,0.834429,0.401617,0.216117
8,0.043812,0.589705,0.839441,0.46295,0.297379
9,0.041897,0.609419,0.827799,0.425847,0.253754
10,0.042982,0.572211,0.850219,0.484514,0.323587
11,0.042983,0.605047,0.837032,0.45502,0.290733
12,0.040532,0.575107,0.83701,0.478909,0.321604
13,0.038721,0.613327,0.840888,0.454638,0.289776
14,0.038584,0.577142,0.811765,0.487739,0.338921
15,0.042266,0.589552,0.82713,0.47003,0.315827
16,0.04092,0.604048,0.815519,0.460828,0.300962
17,0.037994,0.585598,0.829004,0.482644,0.337928
18,0.042781,0.593826,0.842782,0.481721,0.327879
19,0.038501,0.589937,0.836423,0.487262,0.346116
20,0.036602,0.590922,0.82618,0.479898,0.330017
