epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.365195,0.525537,0.78871,0.230053,0.217886
2,0.301026,0.34932,0.832371,0.441352,0.380902
3,0.284806,0.284592,0.831468,0.482231,0.416233
4,0.269001,0.277369,0.840086,0.467192,0.405206
5,0.273819,0.277855,0.846976,0.495794,0.428171
6,0.255273,0.274833,0.834253,0.486057,0.411706
7,0.262436,0.270474,0.841961,0.512127,0.436385
8,0.236788,0.271878,0.84253,0.515533,0.440453
9,0.24991,0.269426,0.841622,0.505794,0.428139
10,0.239675,0.275244,0.839581,0.510634,0.43501
11,0.246279,0.271672,0.824369,0.526808,0.454399
12,0.21197,0.269153,0.832518,0.517657,0.446804
13,0.234612,0.268999,0.83716,0.514648,0.447249
14,0.224818,0.270663,0.834663,0.519818,0.449441
15,0.235797,0.267385,0.829408,0.526481,0.455123
16,0.224659,0.268704,0.821129,0.524076,0.447734
17,0.243904,0.26859,0.821265,0.519128,0.448128
