epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.363802,0.501765,0.791455,0.217237,0.207932
2,0.300354,0.415175,0.825999,0.432246,0.367369
3,0.286049,0.489907,0.835338,0.469187,0.400832
4,0.271457,0.470484,0.830803,0.469988,0.403249
5,0.275905,0.384009,0.839127,0.508863,0.439161
6,0.25489,0.482852,0.831318,0.5075,0.433738
7,0.263527,0.406625,0.837608,0.524542,0.446162
8,0.238051,0.387917,0.830011,0.519195,0.443512
9,0.251806,0.348689,0.833563,0.508707,0.432715
10,0.242569,0.325261,0.833002,0.48996,0.415296
11,0.249053,0.273884,0.823668,0.505936,0.434331
12,0.215475,0.296968,0.826587,0.504923,0.431106
13,0.2366,0.273438,0.82983,0.499746,0.428748
