epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.366738,0.477715,0.781315,0.232197,0.212109
2,0.30017,0.400977,0.828902,0.445466,0.383703
3,0.284004,0.379533,0.832829,0.455768,0.390342
4,0.270465,0.353231,0.825534,0.466289,0.400661
5,0.275767,0.33089,0.832002,0.510911,0.442012
6,0.255406,0.282189,0.827363,0.512023,0.443942
7,0.262112,0.272135,0.836245,0.509694,0.43733
8,0.238317,0.272835,0.825765,0.509888,0.435457
9,0.251458,0.270008,0.828977,0.526267,0.451431
10,0.242009,0.275594,0.831174,0.503897,0.427278
11,0.247498,0.272373,0.809491,0.518887,0.445051
12,0.214432,0.275957,0.818974,0.502305,0.429187
13,0.236842,0.27078,0.824277,0.510519,0.438707
14,0.226775,0.27345,0.813916,0.515674,0.442215
15,0.232807,0.269168,0.815085,0.514444,0.441601
