epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.044235,0.651787,0.805508,0.464144,0.339721
2,0.038338,0.564122,0.838598,0.523856,0.39648
3,0.037394,0.640055,0.832769,0.529167,0.404171
4,0.035886,0.601731,0.836129,0.515934,0.397496
5,0.036767,0.565444,0.846463,0.530808,0.407364
6,0.034157,0.59561,0.841448,0.543063,0.428241
7,0.035277,0.489775,0.848044,0.552477,0.434463
8,0.032206,0.494303,0.838071,0.51662,0.394197
9,0.03378,0.489197,0.850144,0.541886,0.42312
10,0.032235,0.468719,0.853049,0.553919,0.442495
11,0.033103,0.481528,0.840412,0.564715,0.457225
12,0.029061,0.497806,0.841736,0.546413,0.432643
13,0.031579,0.480516,0.851236,0.541739,0.426717
14,0.030407,0.488158,0.845414,0.545301,0.427524
15,0.031408,0.48493,0.834058,0.553816,0.436526
16,0.030111,0.471644,0.846314,0.552518,0.436937
17,0.032193,0.471369,0.841826,0.553948,0.440029
