epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.061627,1.01702,0.804738,0.374894,0.175141
2,0.055274,1.037916,0.824499,0.404962,0.218995
3,0.05296,0.869132,0.841807,0.406711,0.223634
4,0.050673,0.713479,0.841784,0.419504,0.22995
5,0.051157,0.816435,0.83411,0.409251,0.223015
6,0.048852,0.722289,0.842216,0.430131,0.25025
7,0.049341,0.685706,0.833863,0.423484,0.244283
8,0.045837,0.631799,0.835609,0.448254,0.27886
9,0.046877,0.607822,0.844083,0.446262,0.278727
10,0.044942,0.580613,0.849382,0.447162,0.283888
11,0.047534,0.617119,0.842091,0.401968,0.221566
12,0.042774,0.604508,0.840316,0.418694,0.240566
13,0.043582,0.597983,0.837854,0.457763,0.296861
14,0.042967,0.620943,0.82907,0.416548,0.232478
15,0.044428,0.596439,0.835067,0.435095,0.26627
16,0.042761,0.591269,0.845701,0.464102,0.301383
17,0.044495,0.599716,0.838817,0.449626,0.281465
18,0.043595,0.593753,0.843953,0.440882,0.275517
19,0.039606,0.586035,0.839516,0.456772,0.296633
20,0.042999,0.594444,0.837261,0.450642,0.287202
21,0.040094,0.585459,0.837898,0.456657,0.294242
22,0.039626,0.568684,0.842794,0.467989,0.321447
23,0.037695,0.552611,0.835022,0.491194,0.353239
24,0.040934,0.584258,0.836247,0.453856,0.297961
25,0.03757,0.566762,0.836713,0.467735,0.321774
26,0.037305,0.593818,0.839764,0.438561,0.281034
27,0.039888,0.565465,0.836692,0.473949,0.325893
28,0.038827,0.586053,0.834956,0.457657,0.3043
29,0.037849,0.579347,0.839495,0.478659,0.325455
