epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.252473,0.287956,0.828646,0.476292,0.400048
2,0.170689,0.309053,0.830504,0.481269,0.409067
3,0.13983,0.296758,0.818782,0.476476,0.401817
4,0.114059,0.299884,0.824233,0.502721,0.41526
5,0.093192,0.297364,0.81661,0.48915,0.396925
6,0.078396,0.304762,0.812938,0.508955,0.421619
7,0.067464,0.300627,0.827476,0.497785,0.407491
8,0.060085,0.329228,0.813287,0.495931,0.410515
9,0.053598,0.300557,0.829049,0.509894,0.421137
10,0.041538,0.317479,0.834872,0.507278,0.416485
11,0.035513,0.331864,0.819807,0.495336,0.404539
12,0.032123,0.328997,0.831246,0.503314,0.416447
13,0.028352,0.349066,0.821059,0.5022,0.40954
14,0.022805,0.354608,0.826807,0.517043,0.427893
15,0.019383,0.362165,0.824633,0.506115,0.415748
16,0.017569,0.360796,0.832551,0.515139,0.423755
17,0.016107,0.378485,0.821924,0.503014,0.411374
18,0.014558,0.372343,0.826024,0.514786,0.422056
