epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.282427,0.318599,0.779564,0.368438,0.3426
2,0.195415,0.291614,0.812879,0.446463,0.391677
3,0.158721,0.288938,0.816884,0.451423,0.381065
4,0.143799,0.28415,0.809757,0.513629,0.429765
5,0.138668,0.281009,0.818574,0.486976,0.404342
6,0.121001,0.298943,0.828582,0.461329,0.378802
7,0.108455,0.282988,0.821584,0.5244,0.445193
8,0.113771,0.295104,0.827154,0.478985,0.396343
9,0.107944,0.307446,0.813787,0.518702,0.433064
10,0.105159,0.297965,0.813646,0.512512,0.431328
11,0.112716,0.28949,0.809032,0.512419,0.433821
12,0.107851,0.295252,0.82059,0.52671,0.445901
13,0.095745,0.317507,0.823515,0.520559,0.439431
14,0.102166,0.30068,0.816008,0.532247,0.44114
