epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.246419,0.301384,0.835174,0.444617,0.37579
2,0.158638,0.319258,0.829658,0.480823,0.40668
3,0.12261,0.295772,0.821084,0.50225,0.417743
4,0.098438,0.282367,0.838174,0.520891,0.441442
5,0.077745,0.305056,0.818335,0.5142,0.424694
6,0.072523,0.306702,0.805831,0.476796,0.392533
7,0.062207,0.301771,0.830936,0.529795,0.448828
8,0.049144,0.320121,0.823912,0.478185,0.389267
9,0.044724,0.3232,0.825477,0.527544,0.441648
10,0.035835,0.328085,0.812247,0.511212,0.424363
11,0.033489,0.324913,0.820433,0.532227,0.443928
12,0.028576,0.324171,0.816685,0.511701,0.423766
