epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.275425,0.307269,0.798993,0.345935,0.327251
2,0.186049,0.299292,0.819648,0.400962,0.351205
3,0.154005,0.290697,0.808188,0.415546,0.340045
4,0.141204,0.302847,0.79126,0.464363,0.382066
5,0.138757,0.284388,0.825257,0.510784,0.423757
6,0.119663,0.294043,0.818909,0.509297,0.422264
7,0.104399,0.289469,0.801861,0.472671,0.389262
8,0.112747,0.294236,0.826484,0.490114,0.404867
9,0.107381,0.317951,0.802093,0.495768,0.411653
10,0.102889,0.306855,0.80773,0.486639,0.400684
11,0.112107,0.298863,0.809967,0.499383,0.413959
12,0.107418,0.310555,0.815064,0.483501,0.394376
13,0.095209,0.3237,0.815121,0.476224,0.385598
14,0.101371,0.318351,0.800695,0.501612,0.408239
15,0.092073,0.304118,0.820636,0.49514,0.405452
16,0.079293,0.296465,0.821734,0.49541,0.410267
