epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.276574,0.341636,0.826129,0.346404,0.315993
2,0.185187,0.294912,0.812755,0.427062,0.370253
3,0.153313,0.293073,0.815054,0.42477,0.348632
4,0.138896,0.29379,0.817614,0.496602,0.414578
5,0.13428,0.278632,0.831166,0.501311,0.414239
6,0.118166,0.291298,0.819676,0.476276,0.388633
7,0.104832,0.280031,0.82336,0.495197,0.412175
8,0.112419,0.290593,0.8325,0.462132,0.382727
9,0.106217,0.304401,0.806053,0.502091,0.424217
10,0.103186,0.293067,0.817039,0.500249,0.417992
11,0.111029,0.290965,0.825261,0.509252,0.4297
12,0.10577,0.296258,0.832527,0.505316,0.418971
13,0.094548,0.313534,0.82433,0.477898,0.394096
14,0.100668,0.305596,0.810882,0.503452,0.412706
15,0.091316,0.292773,0.827475,0.494502,0.407451
16,0.078466,0.294251,0.829545,0.502087,0.424531
17,0.084883,0.308007,0.830784,0.498817,0.412645
18,0.088385,0.300118,0.827591,0.500806,0.415885
19,0.077112,0.294182,0.826416,0.511402,0.427324
20,0.086069,0.29297,0.830936,0.506512,0.423209
