epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.275114,0.323182,0.799394,0.353073,0.332431
2,0.182398,0.300678,0.801111,0.373757,0.326925
3,0.15148,0.297818,0.803266,0.424515,0.349822
4,0.142245,0.295253,0.796062,0.457579,0.372044
5,0.138169,0.279618,0.832844,0.487782,0.406412
6,0.118346,0.288854,0.830284,0.484602,0.396271
7,0.106688,0.287783,0.812284,0.448867,0.368099
8,0.112733,0.328662,0.823881,0.438763,0.353979
9,0.106351,0.309119,0.81532,0.476029,0.388391
10,0.10413,0.300965,0.817749,0.489997,0.407282
11,0.111191,0.310223,0.811505,0.481857,0.40149
12,0.107298,0.30537,0.827599,0.463518,0.376998
13,0.095619,0.312367,0.821548,0.450396,0.364419
