epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.040904,0.485363,0.836673,0.537703,0.402723
2,0.038219,0.508396,0.831352,0.544906,0.419013
3,0.037123,0.479036,0.848928,0.553879,0.427079
4,0.035157,0.509946,0.814683,0.530023,0.407974
5,0.033308,0.479861,0.822106,0.488688,0.351516
6,0.034946,0.482497,0.821289,0.522728,0.396883
7,0.033007,0.507173,0.832717,0.534882,0.39894
8,0.032566,0.488739,0.822764,0.522695,0.40763
9,0.032426,0.494332,0.812398,0.515848,0.396816
10,0.030797,0.484096,0.823539,0.532135,0.402558
11,0.031452,0.45311,0.806898,0.535307,0.410887
