epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.058054,0.617148,0.830215,0.461555,0.273873
2,0.054221,0.64874,0.843486,0.444227,0.252407
3,0.052807,0.595094,0.838562,0.470062,0.302877
4,0.05074,0.630281,0.825416,0.459742,0.283847
5,0.048183,0.572887,0.834387,0.487186,0.326521
6,0.04998,0.615926,0.837205,0.432126,0.24849
7,0.047717,0.683332,0.826981,0.382007,0.178039
8,0.04677,0.619168,0.830942,0.42603,0.250838
9,0.046265,0.633855,0.840689,0.42857,0.247598
10,0.043725,0.596158,0.837767,0.474945,0.301638
