epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.041328,0.470852,0.832748,0.548023,0.418668
2,0.03848,0.518799,0.825817,0.55053,0.433139
3,0.037215,0.472973,0.837443,0.5648,0.438586
4,0.035182,0.498925,0.829897,0.566657,0.448371
5,0.033522,0.468679,0.841782,0.555538,0.429196
6,0.034655,0.485534,0.833757,0.556876,0.438311
7,0.03314,0.519904,0.821664,0.51595,0.378705
8,0.032471,0.485811,0.835694,0.534931,0.418364
9,0.032267,0.501246,0.8327,0.536525,0.414092
10,0.030319,0.491638,0.830673,0.56217,0.446232
11,0.031134,0.446715,0.831298,0.552582,0.432914
12,0.032684,0.483137,0.823698,0.563727,0.442523
13,0.027014,0.444418,0.82373,0.536151,0.420088
