epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.878739,0.816303,0.569331,0.446541
2,0.414576,0.830683,0.575848,0.446971
3,0.298992,0.822851,0.592902,0.48038
4,0.201224,0.814094,0.602459,0.482268
5,0.146346,0.826966,0.608205,0.500124
6,0.102339,0.837315,0.598677,0.499252
7,0.119459,0.814371,0.594075,0.482911
8,0.107233,0.818365,0.586403,0.466466
9,0.116876,0.819254,0.580608,0.47411
10,0.064513,0.820635,0.59088,0.479158
11,0.063492,0.822946,0.584803,0.46662
12,0.087846,0.81983,0.580083,0.468352
13,0.047088,0.810107,0.573098,0.442915
14,0.093239,0.818661,0.581826,0.46687
