epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.912805,0.590922,0.823495,0.352069,0.25292
2,0.438736,0.432581,0.84132,0.434945,0.321637
3,0.305328,0.375409,0.863162,0.506406,0.402294
4,0.258805,0.346162,0.847997,0.527284,0.42286
5,0.175075,0.313427,0.844684,0.563947,0.462795
6,0.111531,0.306847,0.858495,0.586513,0.493236
7,0.088716,0.285035,0.857817,0.608446,0.524054
8,0.068377,0.36184,0.83599,0.567301,0.478961
9,0.064489,0.303949,0.836235,0.602006,0.515902
10,0.049967,0.288409,0.851272,0.59776,0.510304
11,0.037167,0.289611,0.854176,0.597939,0.514198
