epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.875374,0.544816,0.832503,0.336272,0.236582
2,0.421876,0.470068,0.844926,0.431566,0.327872
3,0.255594,0.31226,0.844005,0.562302,0.462075
4,0.191335,0.323894,0.845906,0.564006,0.463412
5,0.150899,0.352461,0.841326,0.547872,0.443255
6,0.104959,0.298564,0.842679,0.565446,0.472747
7,0.081439,0.286344,0.848539,0.583888,0.49489
8,0.073047,0.323076,0.848678,0.581346,0.496601
9,0.055926,0.281862,0.842441,0.588078,0.49688
10,0.072908,0.287957,0.850308,0.593184,0.503274
11,0.040495,0.297822,0.855888,0.595549,0.510846
12,0.044183,0.297154,0.854622,0.585516,0.498694
13,0.061953,0.31479,0.84428,0.579669,0.492706
14,0.05114,0.297659,0.855605,0.600621,0.516735
15,0.028401,0.309913,0.8508,0.576854,0.488176
16,0.01772,0.297547,0.855246,0.604024,0.51607
17,0.014634,0.300649,0.853937,0.583918,0.497282
18,0.015601,0.307892,0.853173,0.590145,0.50281
19,0.014426,0.296056,0.854251,0.591078,0.505457
