epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.878739,0.839534,0.583667,0.472474
2,0.414576,0.845603,0.601782,0.489313
3,0.298992,0.848473,0.606093,0.501182
4,0.201224,0.841314,0.632371,0.522149
5,0.146346,0.848594,0.630091,0.531915
6,0.102339,0.855782,0.629459,0.531365
7,0.119459,0.844799,0.621403,0.522599
8,0.107233,0.846221,0.61153,0.509063
9,0.116876,0.84609,0.612299,0.522887
10,0.064513,0.84983,0.6298,0.53268
11,0.063492,0.852201,0.618666,0.517208
12,0.087846,0.844414,0.610411,0.503703
13,0.047088,0.842149,0.606836,0.496927
14,0.093239,0.842536,0.621209,0.515245
