epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.893485,0.559029,0.825012,0.334109,0.236888
2,0.420968,0.41509,0.840935,0.447021,0.338651
3,0.267894,0.330739,0.851067,0.533575,0.434855
4,0.201079,0.390801,0.842976,0.531559,0.434252
5,0.185236,0.364114,0.837923,0.54232,0.445416
6,0.126219,0.316027,0.839281,0.57373,0.474694
7,0.098189,0.299058,0.853761,0.59857,0.511404
8,0.06491,0.305114,0.858446,0.586127,0.499701
9,0.054221,0.288228,0.840431,0.589198,0.502765
10,0.080834,0.287344,0.854556,0.606131,0.519518
11,0.042808,0.315405,0.851538,0.592033,0.5085
12,0.043853,0.30686,0.859002,0.597897,0.515279
13,0.024601,0.326258,0.848356,0.583018,0.499123
14,0.043631,0.31491,0.853416,0.58827,0.505115
15,0.027703,0.328149,0.84862,0.607335,0.524981
16,0.023909,0.305339,0.857503,0.595423,0.508839
17,0.015817,0.308279,0.859717,0.596058,0.513885
18,0.014381,0.308825,0.858892,0.597938,0.512649
19,0.016495,0.301084,0.859332,0.595159,0.513023
20,0.027721,0.306165,0.859807,0.601673,0.520655
