epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.249662,0.284651,0.799674,0.437149,0.382687
2,0.168198,0.298576,0.824097,0.456212,0.394083
3,0.132044,0.282306,0.807139,0.508797,0.430446
4,0.103254,0.283601,0.817964,0.509531,0.43076
5,0.089267,0.28068,0.83102,0.561238,0.479373
6,0.073412,0.292251,0.824887,0.500224,0.417584
7,0.067928,0.300033,0.842706,0.556054,0.471417
8,0.056553,0.315234,0.827365,0.509384,0.420527
9,0.048194,0.30864,0.833255,0.527055,0.437928
10,0.040856,0.322613,0.812879,0.546757,0.460199
11,0.03378,0.332307,0.812951,0.513133,0.428562
12,0.032419,0.341505,0.819016,0.51789,0.431516
13,0.026885,0.369973,0.800677,0.505895,0.417708
14,0.025697,0.351285,0.816952,0.522114,0.436297
15,0.022391,0.361922,0.81261,0.508356,0.418466
