epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.032378,0.423722,0.823194,0.512159,0.379839
2,0.022494,0.398215,0.839882,0.507348,0.386372
3,0.017554,0.379285,0.82418,0.512475,0.382299
4,0.01504,0.346655,0.839835,0.561238,0.440772
5,0.012786,0.339781,0.836856,0.559915,0.451373
6,0.011065,0.327732,0.82906,0.575263,0.456961
7,0.01018,0.335249,0.842606,0.54946,0.428887
8,0.009044,0.317595,0.831473,0.559996,0.437499
9,0.007485,0.315133,0.822569,0.551003,0.432734
10,0.006227,0.297163,0.827905,0.531754,0.415916
11,0.005735,0.307417,0.816592,0.534338,0.419474
12,0.005153,0.298225,0.831128,0.532453,0.422132
13,0.004112,0.295604,0.819208,0.531713,0.420616
14,0.00368,0.288793,0.833013,0.528278,0.420338
15,0.003236,0.283732,0.837596,0.533671,0.423614
