epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.039233,0.431926,0.819201,0.525677,0.401886
2,0.030299,0.400279,0.83469,0.5366,0.423471
3,0.02577,0.366931,0.84954,0.574168,0.458027
4,0.022583,0.341788,0.863926,0.589822,0.484852
5,0.019652,0.334587,0.852261,0.579699,0.469533
6,0.017058,0.32585,0.84689,0.569896,0.467448
7,0.0158,0.318528,0.848435,0.596604,0.491736
8,0.01353,0.297263,0.841469,0.601253,0.497179
9,0.011788,0.300268,0.853495,0.575548,0.47829
10,0.010864,0.286638,0.84527,0.585219,0.489358
11,0.009165,0.283516,0.8553,0.590464,0.493369
12,0.007705,0.284614,0.845618,0.574943,0.483523
