epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.048047,0.544987,0.81319,0.445672,0.268108
2,0.036735,0.514166,0.798676,0.45431,0.298966
3,0.030699,0.467016,0.811604,0.469861,0.314311
4,0.026595,0.455459,0.827822,0.514553,0.370893
5,0.023675,0.432407,0.835393,0.531501,0.387874
6,0.020361,0.418367,0.815935,0.501416,0.358755
7,0.018352,0.404494,0.841462,0.554196,0.423626
8,0.016546,0.401524,0.80643,0.537179,0.399633
9,0.013953,0.380156,0.828457,0.515743,0.389196
10,0.011872,0.380629,0.841144,0.534821,0.408773
11,0.010058,0.379751,0.809653,0.520618,0.395254
12,0.009077,0.363482,0.81051,0.527819,0.411469
13,0.007147,0.368571,0.813125,0.560496,0.447755
14,0.00601,0.361195,0.822629,0.554691,0.441666
15,0.005094,0.358995,0.815607,0.549549,0.442817
