epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.301452,0.324285,0.811892,0.360694,0.340328
2,0.193342,0.291911,0.79951,0.4233,0.375254
3,0.161052,0.284662,0.817389,0.469434,0.398287
4,0.140821,0.276466,0.825666,0.526215,0.447609
5,0.131888,0.286435,0.824704,0.523239,0.440982
6,0.119602,0.279665,0.827931,0.505913,0.422056
7,0.138878,0.298707,0.808685,0.491145,0.412141
8,0.11086,0.308057,0.819647,0.505863,0.426831
9,0.118787,0.283812,0.820964,0.515925,0.435466
10,0.110712,0.280847,0.821478,0.521468,0.439164
11,0.107796,0.295211,0.816322,0.515348,0.437594
12,0.10487,0.296195,0.824089,0.525502,0.442861
13,0.095206,0.305399,0.822336,0.513186,0.430642
14,0.10835,0.28872,0.82511,0.528385,0.45352
