epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.245872,0.276967,0.823087,0.48167,0.406461
2,0.158432,0.311208,0.812647,0.437529,0.382541
3,0.120741,0.293493,0.805903,0.482137,0.404359
4,0.098459,0.311742,0.802633,0.450595,0.372002
5,0.080537,0.288428,0.828645,0.528986,0.450339
6,0.067896,0.311857,0.791496,0.493017,0.410484
7,0.061039,0.295128,0.833849,0.527894,0.44396
8,0.050198,0.306455,0.823379,0.544152,0.462039
9,0.043549,0.316892,0.833129,0.528168,0.442677
10,0.036952,0.330894,0.816034,0.525115,0.436256
11,0.034724,0.320206,0.817175,0.535271,0.449027
12,0.028467,0.331879,0.805816,0.525363,0.442363
13,0.024866,0.363187,0.800187,0.519741,0.423881
14,0.021958,0.34933,0.813583,0.523324,0.42958
15,0.019358,0.348755,0.819839,0.52371,0.434156
