epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.244724,0.292262,0.825429,0.478024,0.407004
2,0.157746,0.307509,0.810905,0.456014,0.392107
3,0.119558,0.287795,0.822334,0.480951,0.39954
4,0.096244,0.29354,0.823752,0.490386,0.402917
5,0.078613,0.276565,0.840822,0.574338,0.493199
6,0.069361,0.285861,0.840502,0.515191,0.43174
7,0.056305,0.300046,0.83822,0.528842,0.444622
8,0.050724,0.300185,0.840588,0.504226,0.426573
9,0.042519,0.307887,0.828377,0.53537,0.448805
10,0.038373,0.306685,0.831413,0.508806,0.423593
11,0.031967,0.306241,0.837242,0.542161,0.4594
12,0.028096,0.306394,0.841615,0.543314,0.463785
13,0.025886,0.334327,0.830231,0.523623,0.43856
14,0.02216,0.327289,0.838968,0.527759,0.442733
15,0.019689,0.341689,0.830792,0.539377,0.454575
16,0.018394,0.322786,0.840493,0.540841,0.457902
17,0.016651,0.33187,0.83686,0.537216,0.456097
18,0.01549,0.339071,0.833564,0.536306,0.452652
19,0.015101,0.333928,0.83359,0.541985,0.457438
20,0.014173,0.338482,0.830878,0.540065,0.456158
