epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.273291,0.329403,0.794249,0.342937,0.31249
2,0.18285,0.307971,0.813658,0.37612,0.325792
3,0.15015,0.297331,0.814082,0.470429,0.407563
4,0.137219,0.280087,0.821625,0.481664,0.403993
5,0.137384,0.287365,0.805241,0.500457,0.412499
6,0.119606,0.278328,0.82557,0.500311,0.416166
7,0.102998,0.278036,0.825858,0.510292,0.43675
8,0.117699,0.282382,0.818001,0.493636,0.41336
9,0.111036,0.297421,0.812753,0.482771,0.40386
10,0.106453,0.286462,0.814337,0.494223,0.402345
11,0.110525,0.288014,0.830206,0.522594,0.44159
12,0.108828,0.287479,0.82415,0.511136,0.431016
13,0.093526,0.294038,0.816181,0.487085,0.405256
14,0.102491,0.296377,0.819601,0.505381,0.424359
15,0.094717,0.299359,0.818466,0.515057,0.431938
16,0.079518,0.29621,0.819026,0.471117,0.389611
17,0.086694,0.299824,0.821173,0.492223,0.409718
18,0.090777,0.299964,0.819946,0.496816,0.410619
19,0.081296,0.291893,0.819442,0.506888,0.423143
