epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.057195,0.618078,0.815648,0.435433,0.250467
2,0.053732,0.631747,0.825792,0.424352,0.231026
3,0.052094,0.603141,0.838293,0.469558,0.301959
4,0.050137,0.606418,0.842219,0.455976,0.278068
5,0.046654,0.585483,0.848216,0.480784,0.318972
6,0.049005,0.61534,0.831044,0.46002,0.284789
7,0.046821,0.654506,0.846235,0.40412,0.21548
8,0.046386,0.621125,0.847915,0.434034,0.250836
9,0.044427,0.614509,0.824726,0.430327,0.247668
10,0.042926,0.598611,0.852878,0.482969,0.316909
11,0.043025,0.571548,0.843263,0.503233,0.351616
12,0.045286,0.611282,0.82648,0.487197,0.315936
13,0.036616,0.54907,0.819395,0.502661,0.35838
14,0.038913,0.581273,0.813082,0.487852,0.348676
15,0.039348,0.58109,0.819725,0.479412,0.330419
16,0.037889,0.599184,0.816659,0.480556,0.317069
17,0.040717,0.581428,0.834066,0.535207,0.393559
18,0.039163,0.573905,0.831239,0.532501,0.396192
