epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.056927,0.608067,0.828714,0.4534,0.274583
2,0.053548,0.632856,0.817531,0.391899,0.200626
3,0.052006,0.583041,0.838008,0.489881,0.325077
4,0.049673,0.610837,0.835941,0.457745,0.287431
5,0.046535,0.587569,0.848461,0.488459,0.327227
6,0.048631,0.626832,0.836774,0.42612,0.241269
7,0.046644,0.642993,0.846282,0.392517,0.208507
8,0.045851,0.628554,0.84951,0.421446,0.235258
9,0.044121,0.610182,0.829732,0.429299,0.251346
10,0.042615,0.595637,0.851564,0.445727,0.28133
11,0.042616,0.566923,0.823755,0.504355,0.355225
12,0.045435,0.613201,0.841472,0.466512,0.294585
13,0.036752,0.544762,0.836939,0.537983,0.398191
14,0.038837,0.575782,0.824915,0.505169,0.359464
15,0.039009,0.577828,0.833069,0.499425,0.351263
16,0.037713,0.593002,0.826425,0.489658,0.330299
17,0.04056,0.582149,0.835735,0.529615,0.381806
18,0.039211,0.573264,0.838529,0.526984,0.382585
