epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.040575,0.488365,0.815577,0.538225,0.402958
2,0.037608,0.52307,0.766829,0.490189,0.364425
3,0.036411,0.475635,0.830412,0.55256,0.433006
4,0.034727,0.495122,0.832014,0.53497,0.416587
5,0.032348,0.483785,0.83718,0.577615,0.462686
6,0.034363,0.510886,0.837754,0.561451,0.444684
7,0.032886,0.528143,0.825852,0.54097,0.422239
8,0.032871,0.486146,0.825317,0.530602,0.400236
9,0.031083,0.486503,0.804607,0.519421,0.395604
10,0.030729,0.478032,0.846775,0.559795,0.439521
11,0.030408,0.465332,0.818527,0.542858,0.428174
12,0.032421,0.489174,0.822658,0.542269,0.426368
13,0.026175,0.433403,0.811833,0.52864,0.415684
14,0.028289,0.462976,0.826278,0.546125,0.438149
15,0.028687,0.467782,0.826735,0.535838,0.425665
16,0.027773,0.470357,0.823164,0.559831,0.447748
17,0.029661,0.457955,0.833401,0.559402,0.444953
18,0.028823,0.451316,0.833702,0.557872,0.444145
