epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.887567,0.839087,0.585015,0.465061
2,0.439397,0.83976,0.592747,0.473764
3,0.320773,0.852034,0.610251,0.510292
4,0.24255,0.851495,0.609087,0.495874
5,0.197359,0.839088,0.605739,0.495644
6,0.126631,0.857174,0.619275,0.506321
7,0.101937,0.837064,0.618293,0.517053
8,0.080439,0.839463,0.638027,0.527609
9,0.072316,0.832143,0.605957,0.496745
10,0.117688,0.846687,0.630902,0.524566
11,0.061511,0.844892,0.642603,0.543366
12,0.045972,0.845042,0.61508,0.520012
13,0.028635,0.850398,0.6406,0.550684
14,0.046037,0.855856,0.632382,0.539567
