epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.866704,0.795853,0.534805,0.408375
2,0.496919,0.812982,0.565174,0.43601
3,0.329992,0.805764,0.536583,0.40101
4,0.307289,0.815998,0.559943,0.434775
5,0.189466,0.820964,0.585304,0.470525
6,0.134102,0.825001,0.577208,0.446142
7,0.112036,0.819241,0.570734,0.444127
8,0.07491,0.82265,0.585119,0.464
9,0.088549,0.80634,0.571212,0.461285
10,0.11626,0.798807,0.535909,0.414838
11,0.132077,0.784604,0.551457,0.428431
12,0.122939,0.81448,0.576496,0.459045
13,0.05417,0.816037,0.580045,0.473481
14,0.060152,0.79864,0.600846,0.493173
