epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.860587,0.832168,0.5894,0.478816
2,0.406713,0.833555,0.601849,0.494937
3,0.276079,0.84601,0.613176,0.522035
4,0.196518,0.844422,0.601859,0.498581
5,0.150594,0.844307,0.601392,0.496655
6,0.109825,0.849368,0.619386,0.522634
7,0.085259,0.850759,0.64338,0.54811
8,0.082714,0.856415,0.63884,0.534506
9,0.0627,0.842419,0.633238,0.549014
10,0.046648,0.849654,0.653454,0.564028
11,0.031792,0.854291,0.645304,0.562797
12,0.057159,0.85084,0.647179,0.552006
13,0.024244,0.855809,0.653828,0.564986
14,0.122725,0.847419,0.617467,0.520008
15,0.07792,0.842791,0.631718,0.542507
16,0.089264,0.853957,0.642667,0.551843
