epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.877301,0.810675,0.563175,0.435924
2,0.42572,0.822787,0.539253,0.421474
3,0.306703,0.828938,0.564441,0.432698
4,0.218207,0.827721,0.599606,0.482658
5,0.150601,0.834252,0.589253,0.474339
6,0.12319,0.826043,0.573131,0.453171
7,0.102345,0.841852,0.572311,0.449676
8,0.105776,0.824949,0.572312,0.461235
9,0.082068,0.828824,0.58853,0.468519
10,0.047632,0.818838,0.57307,0.455554
11,0.069501,0.808786,0.580141,0.458023
12,0.068536,0.812389,0.581111,0.456649
13,0.050996,0.825494,0.596082,0.487214
14,0.139799,0.82176,0.574353,0.468654
15,0.053617,0.808016,0.556944,0.452319
