epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.862895,0.839542,0.591984,0.468925
2,0.399806,0.832994,0.581861,0.468404
3,0.28488,0.849468,0.596389,0.493935
4,0.20146,0.834843,0.618324,0.509309
5,0.146997,0.844696,0.612737,0.501605
6,0.121981,0.856955,0.646068,0.540708
7,0.1001,0.860467,0.630895,0.538389
8,0.096957,0.857014,0.634112,0.534664
9,0.066358,0.850938,0.621965,0.524252
10,0.043836,0.860706,0.636436,0.539709
11,0.03395,0.867403,0.647448,0.559846
12,0.044655,0.856819,0.640249,0.542131
13,0.027185,0.850175,0.630373,0.532892
14,0.084938,0.851933,0.613392,0.51694
15,0.046701,0.848977,0.629296,0.535151
16,0.068655,0.853795,0.620484,0.523467
17,0.049459,0.849566,0.623915,0.522284
18,0.021319,0.852283,0.625961,0.523777
19,0.013815,0.849387,0.632968,0.531067
1,0.862366,0.802719,0.568971,0.445481
2,0.410386,0.809569,0.551159,0.429422
3,0.273482,0.825084,0.583388,0.464185
4,0.197523,0.827925,0.589909,0.470157
5,0.132068,0.818265,0.583933,0.469939
6,0.091045,0.826962,0.594599,0.480682
7,0.101305,0.832586,0.61113,0.512846
8,0.136033,0.830547,0.610323,0.50446
9,0.072809,0.822811,0.614004,0.496567
10,0.075824,0.808395,0.57987,0.469807
11,0.04415,0.819037,0.592268,0.48657
12,0.043701,0.808514,0.573786,0.469767
13,0.09479,0.809318,0.587612,0.471382
14,0.083526,0.828175,0.609619,0.503439
15,0.038011,0.823055,0.603699,0.497516
