epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.844628,0.801981,0.534622,0.401281
2,0.466333,0.822486,0.566597,0.437257
3,0.277158,0.8224,0.555129,0.423916
4,0.188346,0.798264,0.56611,0.444751
5,0.220547,0.825102,0.577926,0.452852
6,0.127971,0.804061,0.568423,0.434774
7,0.100284,0.817132,0.577099,0.450484
8,0.07808,0.827269,0.608248,0.500981
9,0.070527,0.798721,0.563599,0.435724
10,0.054444,0.795106,0.55644,0.439871
11,0.156329,0.818034,0.565743,0.438178
12,0.083377,0.800486,0.542391,0.423527
13,0.044156,0.828189,0.587872,0.479084
14,0.04356,0.816018,0.574921,0.468088
15,0.058889,0.822097,0.580476,0.47136
16,0.042803,0.809822,0.585591,0.474134
17,0.020643,0.810022,0.590575,0.479972
18,0.017762,0.810789,0.578115,0.461472
19,0.011936,0.802377,0.578625,0.46405
20,0.014342,0.812621,0.58789,0.478173
21,0.008814,0.808095,0.564823,0.45811
