epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.886601,0.596403,0.832683,0.330922,0.233684
2,0.42709,0.416855,0.834992,0.452689,0.341539
3,0.286963,0.336211,0.842466,0.532919,0.427972
4,0.213106,0.31928,0.851603,0.543878,0.443444
5,0.154002,0.322106,0.8424,0.580614,0.486529
6,0.100471,0.307576,0.852126,0.57592,0.480695
7,0.087681,0.284819,0.849512,0.606435,0.520652
8,0.057625,0.311401,0.847004,0.581991,0.497458
9,0.056639,0.304014,0.837621,0.558401,0.467064
10,0.123758,0.304552,0.841616,0.588712,0.495825
11,0.04931,0.292258,0.841894,0.601153,0.518319
12,0.055923,0.295539,0.847699,0.581323,0.498598
13,0.027855,0.322578,0.838712,0.567492,0.486657
14,0.039715,0.313538,0.844484,0.57832,0.496315
