epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.886138,0.582693,0.828264,0.324859,0.227422
2,0.425836,0.39515,0.850191,0.490062,0.387283
3,0.267616,0.327333,0.855957,0.538215,0.43748
4,0.211789,0.380442,0.838332,0.50791,0.40532
5,0.146417,0.306517,0.850197,0.591659,0.49123
6,0.09469,0.317154,0.836267,0.558685,0.46547
7,0.086676,0.299711,0.845195,0.584888,0.492775
8,0.127309,0.327884,0.848773,0.583104,0.493992
9,0.072254,0.326689,0.838919,0.584744,0.493792
10,0.060143,0.300825,0.849026,0.594281,0.504864
11,0.039121,0.296668,0.854802,0.594529,0.505698
