epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.87338,0.557223,0.83027,0.322694,0.233822
2,0.42252,0.42616,0.845591,0.462906,0.361581
3,0.264455,0.333372,0.846336,0.517222,0.411317
4,0.193465,0.327749,0.851577,0.528943,0.434602
5,0.137316,0.317109,0.845605,0.554802,0.452428
6,0.11229,0.325176,0.850779,0.557205,0.461002
7,0.073155,0.282693,0.861324,0.596621,0.508654
8,0.078227,0.309601,0.849355,0.577928,0.491052
9,0.057711,0.285605,0.846791,0.576111,0.48767
10,0.044611,0.284249,0.853882,0.60299,0.517602
11,0.030894,0.280864,0.856317,0.597922,0.514388
12,0.041672,0.301461,0.854842,0.581705,0.500957
13,0.067235,0.295799,0.850919,0.58464,0.496898
14,0.052714,0.296225,0.848551,0.576545,0.491697
15,0.028416,0.309873,0.847509,0.584824,0.502099
