epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.243222,0.540732,0.836181,0.35571,0.257359
2,0.127571,0.455119,0.845137,0.421457,0.324579
3,0.071457,0.366345,0.839665,0.529617,0.422496
4,0.071123,0.479858,0.830519,0.44128,0.347732
5,0.0693,0.367666,0.848119,0.553916,0.451769
6,0.030973,0.303202,0.857931,0.584986,0.491896
7,0.021873,0.289917,0.853229,0.593487,0.508982
8,0.014525,0.278897,0.850905,0.575111,0.488028
9,0.011888,0.269569,0.846381,0.590793,0.506978
10,0.011605,0.270381,0.855855,0.600202,0.510582
11,0.007462,0.262123,0.860067,0.601675,0.52219
12,0.008967,0.264261,0.848345,0.587356,0.501457
13,0.022361,0.279817,0.846267,0.596639,0.508746
14,0.017045,0.283682,0.849237,0.592293,0.508706
15,0.010364,0.275646,0.847181,0.598761,0.512964
16,0.0051,0.272425,0.847303,0.612323,0.528768
17,0.004164,0.272847,0.846098,0.605912,0.524996
18,0.003784,0.266771,0.846678,0.605671,0.52063
19,0.003239,0.268239,0.846313,0.60088,0.517409
20,0.010634,0.263404,0.847526,0.608648,0.526978
