epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.310269,0.266671,0.838058,0.511768,0.437721
2,0.235828,0.253259,0.846944,0.556523,0.479552
3,0.200497,0.253166,0.843175,0.579261,0.499481
4,0.171432,0.254896,0.858223,0.581442,0.505558
5,0.144722,0.257746,0.846629,0.585388,0.507843
6,0.124518,0.275373,0.842571,0.575382,0.49698
7,0.110869,0.280867,0.852325,0.602651,0.527066
8,0.090614,0.299873,0.849755,0.549228,0.46676
9,0.082129,0.31037,0.84622,0.569115,0.490006
10,0.068913,0.304059,0.844162,0.579967,0.502036
11,0.056834,0.303903,0.850334,0.592108,0.512267
12,0.04855,0.326858,0.844865,0.580808,0.498272
