epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.247518,0.271401,0.829722,0.511247,0.444117
2,0.167595,0.275258,0.840183,0.510341,0.434272
3,0.133625,0.266049,0.845203,0.535375,0.460323
4,0.104033,0.264862,0.84523,0.537496,0.459141
5,0.08831,0.26697,0.856313,0.559721,0.480318
6,0.073111,0.271035,0.84157,0.563459,0.482846
7,0.063377,0.266067,0.863361,0.576986,0.496964
8,0.053315,0.277729,0.852559,0.558113,0.47641
9,0.045318,0.286286,0.849391,0.550906,0.470168
10,0.041975,0.277569,0.85526,0.579823,0.501134
11,0.035192,0.288361,0.855821,0.578388,0.493881
12,0.030256,0.295174,0.852667,0.575376,0.496991
13,0.026479,0.307277,0.848048,0.565135,0.482368
14,0.023424,0.309229,0.851712,0.571635,0.49194
15,0.02056,0.308097,0.853564,0.581067,0.503218
