epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.03255,0.441829,0.818901,0.548783,0.421084
2,0.022469,0.429657,0.831638,0.517704,0.39926
3,0.018083,0.381582,0.843506,0.562295,0.440184
4,0.014468,0.372603,0.854464,0.569045,0.459138
5,0.01322,0.345112,0.857619,0.551732,0.434062
6,0.01113,0.339804,0.846359,0.538002,0.419472
7,0.009772,0.317455,0.84529,0.580742,0.473064
8,0.008479,0.307793,0.854063,0.57472,0.459017
9,0.007385,0.310741,0.847149,0.578,0.46858
10,0.006692,0.29377,0.857593,0.570164,0.463213
11,0.005388,0.287949,0.849382,0.572886,0.464203
12,0.005089,0.280345,0.862067,0.592568,0.491482
13,0.004382,0.280116,0.851936,0.585782,0.487168
14,0.003507,0.266824,0.85756,0.585899,0.48645
15,0.003027,0.272115,0.853906,0.57053,0.471103
16,0.002646,0.264744,0.857615,0.59468,0.498293
17,0.002498,0.263515,0.860598,0.60461,0.510648
18,0.002075,0.261542,0.856864,0.589386,0.497231
19,0.002071,0.263942,0.857746,0.602543,0.508788
20,0.001876,0.263221,0.855384,0.590392,0.497028
