epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.048045,0.545133,0.829087,0.460093,0.292035
2,0.036661,0.498014,0.83702,0.490428,0.340859
3,0.030863,0.458409,0.832303,0.477615,0.324256
4,0.026489,0.423758,0.859696,0.515735,0.370998
5,0.023169,0.410225,0.857242,0.533076,0.387905
6,0.020401,0.410612,0.843929,0.542681,0.405154
7,0.017822,0.380987,0.838626,0.554763,0.422
8,0.015681,0.384415,0.848734,0.562038,0.431687
9,0.013253,0.383247,0.847223,0.534045,0.407892
10,0.011939,0.356589,0.836649,0.567253,0.452291
11,0.009576,0.355969,0.844638,0.564207,0.452029
12,0.008385,0.346155,0.837601,0.578236,0.470501
