epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,1.104563,0.697647,0.827706,0.283338,0.177939
2,0.795849,0.565885,0.835368,0.350871,0.234234
3,0.69659,0.520468,0.851992,0.398293,0.282357
4,0.6146,0.433954,0.836715,0.458542,0.340035
5,0.573904,0.397466,0.849936,0.519321,0.41397
6,0.544306,0.428111,0.853227,0.505512,0.405898
7,0.607645,0.375031,0.84276,0.496327,0.3925
8,0.498312,0.356122,0.848253,0.56968,0.474457
9,0.524345,0.402897,0.836119,0.491372,0.387967
10,0.488368,0.408824,0.854434,0.518379,0.415616
11,0.494705,0.374246,0.841607,0.531881,0.430891
12,0.47143,0.358475,0.850545,0.564414,0.466108
13,0.417117,0.367679,0.842126,0.537471,0.435395
14,0.479729,0.397885,0.847389,0.504323,0.40802
15,0.410604,0.353735,0.837222,0.544937,0.452571
16,0.440709,0.343083,0.850654,0.590305,0.496789
17,0.382262,0.355767,0.844128,0.555529,0.458925
18,0.410893,0.337275,0.849174,0.565224,0.469974
