epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.244984,0.278791,0.839276,0.486626,0.42037
2,0.164465,0.301738,0.824349,0.437286,0.376647
3,0.126217,0.277539,0.829353,0.515539,0.436843
4,0.104119,0.287603,0.836973,0.506773,0.421206
5,0.084079,0.289054,0.842353,0.531207,0.450217
6,0.070151,0.299703,0.825811,0.512728,0.427833
7,0.062559,0.309817,0.839326,0.512039,0.427749
8,0.055589,0.308341,0.829676,0.496686,0.414693
9,0.044446,0.310227,0.828568,0.533816,0.441796
10,0.040684,0.307797,0.817977,0.534177,0.447041
11,0.034097,0.311309,0.828849,0.52575,0.437873
12,0.03,0.327384,0.822394,0.505028,0.417127
13,0.026537,0.346934,0.821098,0.52901,0.440748
