epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.274375,0.345695,0.810705,0.373977,0.344566
2,0.181741,0.3051,0.806615,0.395784,0.346897
3,0.149135,0.294998,0.809378,0.439058,0.378834
4,0.138961,0.279977,0.827115,0.453042,0.380594
5,0.137355,0.28666,0.816751,0.502973,0.419146
6,0.119301,0.285058,0.818677,0.492351,0.410367
7,0.103747,0.291299,0.812663,0.470152,0.385328
8,0.117544,0.296756,0.816745,0.48747,0.405779
9,0.11146,0.305605,0.813346,0.502741,0.415688
10,0.106524,0.286788,0.819414,0.49027,0.403293
11,0.110314,0.293758,0.825624,0.498347,0.414766
12,0.108815,0.308361,0.824065,0.520003,0.439018
