epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.271585,0.319457,0.810895,0.37261,0.333152
2,0.18045,0.308053,0.804985,0.367566,0.325471
3,0.148855,0.301692,0.821649,0.442266,0.378153
4,0.134449,0.296666,0.810468,0.444349,0.373604
5,0.137273,0.287191,0.808524,0.477795,0.394419
6,0.118263,0.283613,0.822475,0.486032,0.408881
7,0.101826,0.300025,0.796832,0.482632,0.399778
8,0.116789,0.29466,0.798817,0.467211,0.388366
9,0.110467,0.308778,0.79757,0.484154,0.398164
10,0.105218,0.291857,0.812607,0.497086,0.412503
11,0.10976,0.29347,0.819868,0.492382,0.413622
12,0.108146,0.292712,0.817078,0.503082,0.421068
13,0.093054,0.302325,0.809048,0.494045,0.417105
14,0.102131,0.305712,0.809142,0.496976,0.414297
