epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.04076,0.486249,0.812403,0.531801,0.402317
2,0.037501,0.505885,0.799538,0.532456,0.410616
3,0.03656,0.483636,0.841896,0.571182,0.448926
4,0.034551,0.487049,0.831252,0.533647,0.406711
5,0.032341,0.477773,0.834611,0.559521,0.434204
6,0.034326,0.501814,0.842145,0.543305,0.426701
7,0.032908,0.52443,0.824752,0.516435,0.398316
8,0.032882,0.495044,0.832068,0.57198,0.442795
9,0.031076,0.486091,0.806012,0.531146,0.417845
10,0.030518,0.474295,0.829228,0.569485,0.453123
11,0.030575,0.466083,0.845478,0.580595,0.468424
12,0.03246,0.48112,0.822354,0.546885,0.430151
13,0.026176,0.433088,0.827977,0.548403,0.433868
14,0.028384,0.467133,0.827641,0.529404,0.419062
15,0.028654,0.463596,0.821895,0.535302,0.424388
16,0.027681,0.472277,0.809447,0.562197,0.448617
17,0.029655,0.466096,0.836715,0.554844,0.441477
18,0.028892,0.457829,0.835036,0.557874,0.444545
19,0.030746,0.467939,0.836818,0.560918,0.45126
