epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.057646,0.609503,0.808599,0.438331,0.259726
2,0.054186,0.629417,0.817796,0.412676,0.216183
3,0.05215,0.595148,0.838636,0.472976,0.300737
4,0.050016,0.611226,0.838251,0.427447,0.241755
5,0.046552,0.586942,0.839693,0.448887,0.28211
6,0.049065,0.627333,0.817912,0.421243,0.23673
7,0.046819,0.649583,0.822087,0.404122,0.211737
8,0.046227,0.625469,0.833215,0.47588,0.30234
9,0.044255,0.613812,0.813991,0.432385,0.267604
10,0.042885,0.594045,0.82259,0.441742,0.274494
11,0.043101,0.566329,0.83232,0.488635,0.328848
12,0.045407,0.60202,0.822404,0.478382,0.307344
13,0.036808,0.543245,0.822731,0.515019,0.370705
