epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.040633,0.492421,0.81135,0.538505,0.41088
2,0.037705,0.510118,0.809901,0.549152,0.439628
3,0.036916,0.489311,0.834556,0.567802,0.447249
4,0.034941,0.488941,0.832508,0.528439,0.402625
5,0.032622,0.500039,0.844097,0.553778,0.440057
6,0.03454,0.507454,0.844055,0.560055,0.441738
7,0.032969,0.52282,0.843095,0.565211,0.451114
8,0.032948,0.500231,0.827777,0.538528,0.407244
9,0.031199,0.498414,0.818689,0.552028,0.43496
10,0.03067,0.478257,0.831308,0.55198,0.43121
11,0.030644,0.466983,0.847781,0.566741,0.456971
12,0.03259,0.49366,0.828589,0.575475,0.467051
13,0.026043,0.42688,0.833144,0.555897,0.446217
14,0.028475,0.464051,0.827967,0.542631,0.433002
15,0.028583,0.455879,0.832433,0.548484,0.442429
16,0.027856,0.474059,0.82384,0.541436,0.430258
17,0.029817,0.462659,0.84022,0.572279,0.462138
18,0.028858,0.455305,0.841413,0.566243,0.457902
19,0.03049,0.464572,0.843493,0.559428,0.454542
