epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.30542,0.305476,0.815994,0.372176,0.33094
2,0.276543,0.295741,0.799007,0.411854,0.369612
3,0.268132,0.270541,0.825532,0.490614,0.421449
4,0.251109,0.290862,0.808822,0.428287,0.358242
5,0.232086,0.284009,0.83647,0.51545,0.446515
6,0.247586,0.275252,0.826637,0.493232,0.423916
7,0.23652,0.27465,0.820749,0.495711,0.423494
8,0.231853,0.272931,0.830013,0.483669,0.417501
9,0.21812,0.270594,0.815125,0.500601,0.423979
10,0.21607,0.265669,0.821023,0.510992,0.434979
11,0.218316,0.259311,0.833655,0.535257,0.458838
12,0.236958,0.266107,0.826373,0.520543,0.450009
13,0.178902,0.268252,0.81555,0.533108,0.453131
