epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.040513,0.480203,0.820662,0.537636,0.408074
2,0.037806,0.500995,0.798878,0.538708,0.422517
3,0.037163,0.476175,0.833985,0.566928,0.448367
4,0.035192,0.487744,0.825576,0.538738,0.41498
5,0.032497,0.470081,0.833719,0.559946,0.440765
6,0.034581,0.512863,0.834652,0.558416,0.443145
7,0.033032,0.52059,0.829601,0.510479,0.396616
8,0.032807,0.493905,0.835718,0.530138,0.396381
9,0.031042,0.488245,0.816204,0.535126,0.417666
10,0.030656,0.461693,0.820147,0.538858,0.419682
11,0.030548,0.462008,0.832186,0.562183,0.450531
12,0.032421,0.486783,0.826599,0.554682,0.446544
13,0.026118,0.427544,0.827122,0.538524,0.427193
14,0.02844,0.460205,0.821123,0.556538,0.450778
15,0.028719,0.456713,0.819126,0.544756,0.436392
16,0.027792,0.467269,0.807427,0.555542,0.441532
